name,description,ratings,number of lectures,difficulty,average rating,price,category
Flourishing in Stressful Times - with Tara Brach,"Transform anger & anxiety into resilience & creative energy through the practice of compassion, mindfulness & meditation",705,,All Levels,4.4,11.99,Music
Internationally Accredited Diploma Certificate in Nutrition,Learn how to eat healthy and understand the fundamentals of nutrition science,692,,All Levels,4.5,11.99,Music
OSHA Safety Pro: Personal Protective Equipment,Impress management or get that job with you your ability to display life and dollar saving work place safety practices.,677,9,All Levels,4.4,11.99,Music
Sexual Harassment Prevention for Employees - 2017,"Learn what sexual harassment is, how it pertains to the work environment, and the ways to report and prevent it.",666,,All Levels,4.8,44.99,Music
Isla Verde Spa Relaxation Massage Course( Fully Accredited),Learn Massage Online With The Number 1 Ranked Online Massage Course. A Fun And Comprehensive Massage Training Course,663,,All Levels,4.6,11.99,Music
Cognitive Behavioural Therapy (CBT) Life Coach Certification,CBT (Cognitive Behavioural Therapy) life coaching certification in cognitive behavioral Therapy coaching,662,31,All Levels,4.4,11.99,Music
Nutrition Masterclass: Build Your Perfect Diet & Meal Plan,"Learn The Truth About Nutrition, Dieting For Weight Loss, Building Muscle, Healthy Eating, Meal Planning, Fat Loss",661,,All Levels,4.4,11.99,Music
Poi Dancing: The Beginner Series,Learn and master the fundamentals of poi with Nick Woolsey,648,,Beginner,4.8,99.99,Music
REBT – The Modern Effective Therapy System,Heal yourself and achieve your full potential with this incredible therapy system,646,38,Beginner,4.5,11.99,Music
"Learn Optimal Sleep to Improve Your Health, Energy, and Mind","Improve your health, mind, and energy by mastering sleep with this master guide. Includes nutrition and stress tips too.",636,37,All Levels,4.3,11.99,Music
Aromatherapy- Using Essential Oils (5 CEU) Fully Accredited,"Learn Aromatherapy using Essential Oils To Make Soaps, Salves, Lip Balms, blending and so much more. (5 CEU's)",636,,All Levels,4.5,11.99,Music
Yoga : Online Yoga Course for Beginners,Yoga : An Introduction to Yoga For Absolute Beginners,621,36,Beginner,4.2,11.99,Music
Meditation for Beginners: How to Meditate Deeply & Quickly,"Meditation Techniques to Relieve Stress, Anxiety & Improve Your Health in 5 Minutes per Day - Learn Meditation Easily",592,34,Beginner,4.5,11.99,Music
Meal Planning Masterclass: Create Your Own Meal Plan,"Save hundreds by learning how to create your own meal plan to lose fat and build muscle, while eating the food you love.",566,83,All Levels,4.4,11.99,Music
Reiki and Acupressure for Anxiety and Depression,"10 days to a Happier, More Relaxed You",547,,All Levels,4.4,11.99,Music
Gain your Reiki Level 1 Certification in less than a day!,Give yourself the best foundation possible with this comprehensive Reiki Level 1 course!,529,13,All Levels,4.3,11.99,Music
Instant Health Qigong,The Shaolin Qigong Workout For Longevity,514,,All Levels,4.7,11.99,Music
"Eat Real Food: How to Eat a Whole-Food, Plant-Based Diet","Learn how to be a healthy vegan, vegetarian, or plant-powered pro for best health, weight, and longevity.",510,34,All Levels,4.5,11.99,Music
Learn Meditation with Certification to Guide + 10 MP3 Audios,"Learn meditation for stress relief, mindfulness, anxiety and more! Includes 10 guided audios & optional certification ♥",465,,All Levels,4.7,11.99,Music
Martial Arts for Beginners,You will learn basic kicks and punches in this introductory Martial Arts course.,442,15,All Levels,4.5,19.99,Music
Sexual Harassment Prevention for Managers,"Learn how to define, handle, and recognize sexual harassment (Compliant to federal and California state law)",438,63,All Levels,4.3,49.99,Music
Sounds True Presents: Brainspotting,Dr. David Grand on a New Brain-Based Method for Healing and Expanding Performance and Creativity,410,,All Levels,4.6,24.99,Music
Life Coach Certification: Therapeutic Model Level 1,"CBT Integrative Wellness Therapeutic Coaching Certificate:  Art Therapy, NLP, REBT, Counseling, Life Purpose Coaching",383,,Beginner,4.3,11.99,Music
Holistic Health and Wellness Coaching Certificate Program,Holistic Health and Wellness Coaching is Hot! Succeed Using our Complete Holistic Health and Wellness Coaching Systems.,378,,All Levels,4.4,11.99,Music
OSHA Safety Pro: Trenching Excavation & Soil Mechanics,"A quick yet detailed certification in OSHA safety with a focus on Trenching, Excavation, & Soil Mechanics.",369,15,All Levels,4.6,11.99,Music
Wing Chun Sil Lim Tao,Understanding this basic foundation is the beginning of you learning Wing Chun Kung Fu,356,,All Levels,4.8,47.99,Music
Yoga As Meditation,Yoga the traditional way of the sages,353,72,All Levels,4.5,11.99,Music
Science-Based Bodyweight Workout: Build Muscle Without A Gym,"Learn The Simple Science Of Building Muscle & Losing Fat Using Bodyweight Exercises, Bodyweight Fitness & Home Workout",348,,All Levels,4.6,11.99,Music
Summary of Traditional Yoga Practices,"Comprehensive review of Self-awareness, Meditation, and Contemplation",348,103,All Levels,4.6,11.99,Music
Learn how to save your life in 60 minutes using self defense,"The AWARD WINNING Krav Maga self defense training course that is easy to learn, easy to retain and entertaining.",347,81,All Levels,4.4,11.99,Music
Internationally Accredited Diploma Certificate in Fitness,Motivate & Educate Yourself to move more and become a master at designing your own (and others) fitness routine,344,,All Levels,4.4,11.99,Music
Total Transformation Yoga Teacher Training: Anatomy & Flow!,Sadie and Tyler's trainings are renowned as the best Anatomy & Vinyasa Yoga trainings in the world. Grab yours now!,328,13,All Levels,4.3,11.99,Music
40 Hour Transformational Yoga Training and CEU Video Course,"Unique Pranashama Yoga Workshops including Chakra Balancing, Guided Meditation, Nutrition, Acro & Thai Massage Healing.",315,62,All Levels,4.4,199.99,Music
Yoga Medicine’s Guide to Therapeutic Yoga,"Empower your yoga practice with key insights from anatomy, physiology, & mental health for improved well-being",305,28,All Levels,4.5,24.99,Music
"Reiki I, II, III ART & III Teacher Qualification","Learn Reiki Levels I, II, III Art & III Teacher and become a fully Certified Reiki Practitioner/Instructor",296,54,All Levels,4.5,11.99,Music
Professional Accredited Yoga Teacher Training Course,Full Certification Diploma Course to Learn the In depth techniques of Yoga to teach to Students & Groups!,293,19,All Levels,4,11.99,Music
Strength Training For Beginners,Learn how to gain 20-30 pounds of muscle in your first year of weight lifting.,291,31,All Levels,4.1,11.99,Music
Freeing Ourselves With Mindfulness - with Tara Brach,"Using mindfulness and meditation to heal harmful habits, attachments, and addictions",290,,All Levels,4.5,11.99,Music
CBT for Psychosis,"An Individualized, Recovery Oriented Approach",283,36,Beginner,4.5,39.99,Music
Acupressure Massage For Pain Relief (Fully Accredited),"An online Acupressure massage course like no other! Treat your clients, friends, family or yourself.",269,,All Levels,4.7,11.99,Music
Emergency Life Support,First Aid,266,26,Beginner,4.4,11.99,Music
15 Minute Hell: The Ultimate Bodyweight Workout For Warriors,"The astonishing ""accidental"" bodyweight workout discovery to getting strong, lean, and mean as fast as humanly possible!",264,18,All Levels,4.6,11.99,Music
Isla Verde Spa Deep Tissue Massage Course (Fully Accredited),Learn how to perform deep tissue massage and other advanced massage techniques from this bestselling massage course,261,,All Levels,4.7,11.99,Music
30 Day Yoga Challenge & Detox Diet Transformation System,"Learn the Most Powerful Yoga, Health & Healing Program Online: Hours of Proven Effective Practices Guaranteed.",259,85,All Levels,4.1,99.99,Music
Chakra Balancing & Healing Made Simple and Easy,"Easily dissolve stress, fear and anxiety with these simple, safe, effective and powerful Chakra Balancing techniques.",257,19,All Levels,4.4,11.99,Music
Laughter Facilitator Certification,Lead powerful group sessions including laughter exercises and yogic breathing.,257,,All Levels,4.5,11.99,Music
Acupressure and Meridian Massage Techniques (CEU),Enhance your treatments with simple acupressure and meridian massage.,256,23,Beginner,4.6,16.99,Music
The Secret to Six Pack Abs: Get Shredded Abs in 60 min/week,"The secret to 6 pack abs is in cooking less, eating more, and gaining muscle in just 60 minutes per week.",256,83,All Levels,3.5,11.99,Music
Ayurveda Basics,"Make better lifestyle and food choices with the ""Age Old Wisdom"" of Ayurveda, yoga's sister science.",253,,All Levels,4.5,11.99,Music
Health Masterclass: How To Transform Your Health & Life,Master The 3 Surprising Steps That Can Finally Transform Your Health In The Next 30 Days,251,18,All Levels,4.3,11.99,Music
How to Relax and Destress Without Drinking Alcohol,Over 80 Ways to Hang Loose Without Booze,248,84,Beginner,3.9,11.99,Music
How to Build Muscle and Lose Fat,Fitness and Nutrition for Your Personal Goals!,242,20,All Levels,3.7,11.99,Music
Wing Chun Master,Master Wong Wing Chun System,232,162,All Levels,4.7,24.99,Music
Tai Chi - Yang style- Chi Kung,The Master Wong Tai Chi Health course 1 is the beginning of learning Tai Chi training,232,107,Beginner,4.7,49.99,Music
Master Your ADHD Brain!,Maximize Productivity and Empower Your Mind Using Smart Habits and Neuroscience!,232,33,All Levels,4.1,11.99,Music
Sounds True Presents: Mystic Flow - The Yoga of Awakening,An In-Depth Yoga Training with Seane Corn,231,34,All Levels,4.9,24.99,Music
Thai Massage Course (Fully Accredited),Learn Thai Massage From This Best-Selling Thai Massage Course And Start Doing Massages In Your Home Or Spa,231,,All Levels,4.7,11.99,Music
Sit Less Move More - Office Desk Exercise To Improve Posture,"Helping people and the organizations they work for – engage, flourish and thrive with daily office-based body movement!",228,39,All Levels,3.8,11.99,Music
Chair Yoga for Seniors & Beginners,Learn to practice Chair Yoga for seniors or people with reduced mobility with full yoga classes and pose tutorials.,224,25,All Levels,4.5,11.99,Music
How to Stop Drinking Alcohol,A Simple Path from Alcohol Misery to Alcohol Mastery,220,,Beginner,4.7,11.99,Music
Pianoforall - Incredible New Way To Learn Piano & Keyboard,"Learn Piano in WEEKS not years. Play-By-Ear & learn to Read Music. Pop, Blues, Jazz, Ballads, Improvisation, Classical",16780,,All Levels,4.5,11.99,Music
Complete Guitar System - Beginner to Advanced,All-in-one Guitar Course With a Proven Step-by-step Learning System.,9962,,All Levels,4.4,11.99,Music
Guitar Super System Level 1,"Learn concepts extracted directly from Berklee College of Music, presented in an interactive, effective, and fun way!",5312,104,Intermediate,4.4,99.99,Music
Music + Audio Production in Logic Pro X - The Complete Guide,Become a master at using Logic Pro X. Learn how to produce music and record & edit audio to a professional standard.,5095,,All Levels,4.5,11.99,Music
"Music Theory Comprehensive Complete! (Levels 1, 2, & 3)","A Complete College-Level Music Theory Curriculum. This edition of the course includes levels 1, 2, & 3.",3989,,Beginner,4.5,11.99,Music
The Professional Guitar Masterclass,Learn The Tools Used By The World's Top Professional Guitar Players.,2690,136,All Levels,4.4,11.99,Music
"Music Theory for Electronic Music COMPLETE: Parts 1, 2, & 3","Electronic music theory, digital music theory, and dance music theory. Learn music theory with ableton live and more!",2298,,Beginner,4.5,11.99,Music
Music Production in Logic Pro X - The Complete Course!,"Join Successful students in Music Production in Logic Pro X for Creating, Recording, Mix and Master Music in Logic Pro",2197,110,All Levels,4.5,11.99,Music
"Ultimate Ableton Live 9 COMPLETE: Parts 1, 2, & 3","Learning Ableton Live the right way: From the basics to the advanced, from Ableton Certified Trainer J. Anthony Allen.",2105,93,Beginner,4.5,11.99,Music
"LEARN HARMONICA, amaze your friends and have fun - it's EASY",In this ENCYCLOPAEDIA HARMONICA Ben guides you step by step. THIS is how to play the harmonica - blues music and more!,2098,,All Levels,4.5,11.99,Music
Elite Singing Techniques - Phase I,"Step by step singing system proven to develop great technique and vocal mastery, Results are immediate!",1738,107,All Levels,4.7,99.99,Music
BECOME A GREAT SINGER: Your Complete Vocal Training System,"Immediately Improve Your Singing. (Any Level, Any Style)",1516,,All Levels,4.5,11.99,Music
Bulletproof Guitar Player: Master the Fretboard,The Ultimate Guide to Becoming a Professional Guitar Player,1458,62,Intermediate,4.6,39.99,Music
How To Sing #1: Complete Vocal Warm ups & Voice Physiology,Singing Lessons for Vocal Warm Up's Tips & Voice Essentials,1407,53,All Levels,4.5,11.99,Music
Game Music Composition: Make Music For Games From Scratch,"Learn to compose music for any and every type of video game, from complete beginner to competent game music composer",1382,,All Levels,4.4,11.99,Music
Read Music FAST!,Learn to read music using my unique method: just see a note on a piano score and play it on the keyboard straight away,1221,,Beginner,4.6,11.99,Music
Ultimate Beginner Guitar Masterclass (2018 Update),Beginner guitar lessons. Go from knowing nothing about the guitar and learn to play songs everbody loves in just weeks,1087,123,Beginner,4.6,11.99,Music
